Stream Name,Data Source,Source Object,Connector Type,Category,Total Records,DLO Name,Last Refresh Date
ActivityInsightSubjctDtl_00Dam00000Uo32q,ECI_ECI_S3,,ECI,Other,0,ActivityInsightSubjctDtl_00Dam00000Uo32q__dll,2026-07-02T16:26:22.000Z
ActivityInsightSubject_00Dam00000Uo32q,ECI_ECI_S3,,ECI,Other,0,ActivityInsightSubject_00Dam00000Uo32q__dll,2026-07-02T16:14:55.000Z
AiAgentMessageAttachmentBridge,AIPlatform_AGENT_SESSION_TRACING,,AIPlatform,Engagement,0,AiAgentMessageAttachmentBridge__dll,2026-07-02T16:52:08.000Z
AiAgentSessionAttachmentBridge,AIPlatform_AGENT_SESSION_TRACING,,AIPlatform,Engagement,0,AiAgentSessionAttachmentBridge__dll,2026-07-02T16:52:27.000Z
AiAgentSessionLog,AIPlatform_AGENT_SESSION_TRACING,,AIPlatform,Engagement,0,AiAgentSessionLog__dll,2026-07-02T16:53:43.000Z
CollaborationGroup_Home,SalesforceDotCom_Home,CollaborationGroup,SalesforceDotCom,Other,0,CollaborationGroup_Home__dll,2026-07-02T16:50:36.000Z
CollaborationGroupRecord_Home,SalesforceDotCom_Home,CollaborationGroupRecord,SalesforceDotCom,Other,0,CollaborationGroupRecord_Home__dll,2026-07-02T16:50:36.000Z
ConsentAuditTrailV2_ConsentAuditTrail_2EBB2A3F,ConsentAuditTrailV2_25a9a01e_d548_43c4_b427_ea5e5b5fd906,,IngestApi,Other,0,ConsentAuditTrailV2_ConsentAudi_2EBB2A3F__dll,2025-09-09T16:28:01.000Z
ConvTranscriptEntry_00Dam00000Uo32q,ECI_ECI_S3,,ECI,Engagement,0,ConvTranscriptEntry_00Dam00000Uo32q__dll,2026-07-02T16:12:04.000Z
CumulusGTM_identity_DD362998,CumulusGTM_16aa45b3_29dd_4ac7_99a0_512fbf6cb477,,StreamingApp,Profile,0,CumulusGTM_identity_DD362998__dll,2025-12-02T04:32:55.000Z
CumulusGTM_partyIdentification_DD365FAB,CumulusGTM_16aa45b3_29dd_4ac7_99a0_512fbf6cb477,,StreamingApp,Profile,0,CumulusGTM_partyIdentification_DD365FAB__dll,2025-12-02T04:31:42.000Z
DataLakeObjectInstanceFeed_Home,SalesforceDotCom_Home,DataLakeObjectInstanceFeed,SalesforceDotCom,Other,0,DataLakeObjectInstanceFeed_Home__dll,2026-07-02T16:50:37.000Z
DataStreamFeed_Home,SalesforceDotCom_Home,DataStreamFeed,SalesforceDotCom,Other,0,DataStreamFeed_Home__dll,2025-12-31T18:00:36.000Z
Engagement_A4S_Behavioral_Events_F851F30C,Engagement_A4S_93315d32_0bdb_4049_a604_c63ab1db6b0b,,StreamingApp,Engagement,0,Engagement_A4S_Behavioral_Event_F851F30C__dll,2026-03-16T20:57:55.000Z
Engagement_Google_Analytics,Google_Analytics,,CDataJdbcGoogleAnalytics,Engagement,0,Engagement_Google_Analytics__dll,2025-06-26T02:14:07.000Z
EventRelation_Home,SalesforceDotCom_Home,EventRelation,SalesforceDotCom,Other,0,EventRelation_Home__dll,2026-06-22T17:35:39.000Z
Events_Google_Analytics,Google_Analytics,,CDataJdbcGoogleAnalytics,Other,0,Events_Google_Analytics__dll,2025-06-26T04:28:42.000Z
